"","title","movie_id","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Family","Fantasy","Foreign","History","Horror","Music","Mystery","Romance","Science Fiction","Thriller","TV Movie","War","Western"
"8149","Big Game",8149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8150","The Cobbler",8150,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"8151","Mr. Peabody & Sherman",8151,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8152","American Heist",8152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8153","Draft Day",8153,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8154","Pawn Sacrifice",8154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8155","A Most Wanted Man",8155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8156","Addicted",8156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"8157","Foxcatcher",8157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"8158","Two Night Stand",8158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8159","Blended",8159,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8160","When Marnie Was There",8160,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8161","The Raid 2",8161,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
